,venue,Lat,Long
0,Sheikh Zayed Stadium,24.4538352,54.3774014
1,"Sardar Patel Stadium, Motera",23.0216238,72.5797068
2,M Chinnaswamy Stadium,12.9767936,77.590082
3,M.Chinnaswamy Stadium,12.9767936,77.590082
4,OUTsurance Oval,-29.116395,26.215496
5,Newlands,-33.928992,18.417396
6,SuperSport Park,-25.836389,28.180278
7,"Punjab Cricket Association IS Bindra Stadium, Mohali",30.7334421,76.7797143
8,"Punjab Cricket Association Stadium, Mohali",30.7334421,76.7797143
9,"MA Chidambaram Stadium, Chepauk",13.0836939,80.270186
10,Barabati Stadium,20.4686,85.8792
11,Feroz Shah Kotla,28.6517178,77.2219388
12,Himachal Pradesh Cricket Association Stadium,32.2143039,76.3196717
13,Dubai International Cricket Stadium,25.2653471,55.2924914
14,Kingsmead,-29.861825,31.009909
15,Buffalo Park,-33.0191604,27.8998573
16,"Rajiv Gandhi International Stadium, Uppal",17.360589,78.4740613
17,Holkar Cricket Stadium,22.7203616,75.8681996
18,Sawai Mansingh Stadium,26.9154576,75.8189817
19,New Wanderers Stadium,-26.205,28.049722
20,Green Park,26.4609135,80.3217588
21,De Beers Diamond Oval,-28.7383012,24.7642251
22,Nehru Stadium,9.931308,76.2674136
23,Eden Gardens,22.5414185,88.35769124388872
24,Brabourne Stadium,19.0785451,72.878176
25,Dr DY Patil Sports Academy,19.0785451,72.878176
26,Wankhede Stadium,19.0785451,72.878176
27,"Vidarbha Cricket Association Stadium, Jamtha",21.1498134,79.0820556
28,St George's Park,-33.9617051,25.6207519
29,Maharashtra Cricket Association Stadium,18.521428,73.8544541
30,Subrata Roy Sahara Stadium,18.521428,73.8544541
31,Shaheed Veer Narayan Singh International Stadium,21.2379469,81.6336833
32,Saurashtra Cricket Association Stadium,22.3053263,70.8028377
33,JSCA International Stadium Complex,23.3700501,85.3250387
34,Sharjah Cricket Stadium,25.3575436,55.3882729
35,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,17.7231276,83.3012842
